"","V1","V2","V3","V4"
"110",11000,1100,5,21.9917240142822
"111",11100,1110,5,22.5546569824219
"112",11200,1120,5,23.6367769241333
"113",11300,1130,5,21.970113992691
"114",11400,1140,5,21.3884530067444
"115",11500,1150,5,22.3652770519257
"116",11600,1160,5,23.8108081817627
"117",11700,1170,5,22.9139111042023
"118",11800,1180,5,23.6361811161041
"119",11900,1190,5,23.3190450668335
"120",12000,1200,5,25.2293109893799
"121",12100,1210,5,27.0268008708954
"122",12200,1220,5,26.5123841762543
"123",12300,1230,5,25.1001660823822
"124",12400,1240,5,25.1975989341736
"125",12500,1250,5,26.7181749343872
"126",12600,1260,5,25.8823301792145
"127",12700,1270,5,26.1673109531403
"128",12800,1280,5,28.7210378646851
"129",12900,1290,5,26.935802936554
"130",13000,1300,5,27.2447769641876
"131",13100,1310,5,31.472373008728
"132",13200,1320,5,31.1428229808807
"133",13300,1330,5,29.5208988189697
"134",13400,1340,5,28.9135448932648
"135",13500,1350,5,27.9780011177063
"136",13600,1360,5,29.9135210514069
"137",13700,1370,5,37.3427691459656
"138",13800,1380,5,30.1220490932465
"139",13900,1390,5,29.663605928421
"140",14000,1400,5,30.4589509963989
"141",14100,1410,5,33.6825380325317
"142",14200,1420,5,31.5637929439545
"143",14300,1430,5,31.9136850833893
"144",14400,1440,5,32.0369830131531
"145",14500,1450,5,34.545695066452
"146",14600,1460,5,34.5086488723755
"147",14700,1470,5,37.3105909824371
"148",14800,1480,5,33.2812249660492
"149",14900,1490,5,37.6755549907684
"150",15000,1500,5,38.1731939315796
"151",15100,1510,5,37.712632894516
"152",15200,1520,5,40.1860539913177
"153",15300,1530,5,35.4734468460083
"154",15400,1540,5,42.6498301029205
"155",15500,1550,5,38.0943830013275
"156",15600,1560,5,37.9535140991211
"157",15700,1570,5,39.3055350780487
"158",15800,1580,5,39.4687259197235
"159",15900,1590,5,42.4507970809937
"160",16000,1600,5,40.4066169261932
"161",16100,1610,5,40.0760409832001
"162",16200,1620,5,39.963613986969
"163",16300,1630,5,44.6596989631653
"164",16400,1640,5,44.8497109413147
"165",16500,1650,5,40.2988049983978
"166",16600,1660,5,45.1430559158325
"167",16700,1670,5,42.1422681808472
"168",16800,1680,5,46.3223748207092
"169",16900,1690,5,42.8291370868683
"170",17000,1700,5,43.332405090332
"171",17100,1710,5,50.4325299263
"172",17200,1720,5,47.1051249504089
"173",17300,1730,5,47.6547200679779
"174",17400,1740,5,48.4980101585388
"175",17500,1750,5,49.2650780677795
"176",17600,1760,5,49.3337020874023
"177",17700,1770,5,49.9664449691772
"178",17800,1780,5,48.0167460441589
"179",17900,1790,5,44.6327791213989
"180",18000,1800,5,47.8715391159058
"181",18100,1810,5,48.0998229980469
"182",18200,1820,5,48.2650549411774
"183",18300,1830,5,47.9959690570831
"184",18400,1840,5,51.9470269680023
"185",18500,1850,5,51.9625120162964
"186",18600,1860,5,52.4140501022339
"187",18700,1870,5,54.6802010536194
"188",18800,1880,5,53.0605478286743
"189",18900,1890,5,56.9841561317444
"190",19000,1900,5,56.019819021225
"191",19100,1910,5,54.9021198749542
"192",19200,1920,5,54.9322130680084
"193",19300,1930,5,56.8587911128998
"194",19400,1940,5,53.7619340419769
"195",19500,1950,5,57.4835090637207
"196",19600,1960,5,53.0251331329346
"197",19700,1970,5,58.401673078537
"198",19800,1980,5,54.5554769039154
"199",19900,1990,5,58.5296378135681
"200",20000,2000,5,59.0944790840149
